HolderAddress,Balance
0x8366a39CC670B4001A1121B8F6A443A643e40951,53699730642.24445671850412103
0x80Db362eAB104Ec378E19D0a3dCD5E84Bafd4bA3,15000000000.0
0xa11c6E33BB98B1f7b66726347c2d3b82254889e5,2356657715.612420729790125964
0xf0E5c30B68e832E97eB67e1e9281BAA5Bd4EA5C7,1895732060.367399630170119227
0x5A6751623861A8b6DbBbcc445638caba55aDd302,1577431176.34756139359979113
0x41591F4E2204a807f6da1ecEAb61Aa262689a16a,1398469649.667530294724622328
0x10c2473692259284a66A99B76C3afa9deF8Cc031,1008768117.601507181220836177
0x12959D8109D097fabc45eb9edD49649058159703,871084039.703029605914457157
0x2c14fFb5B2444eeB203800E9f01a98221b6E5611,813741505.254612438355159141
0x36A3A29E9cfa743b39E2E52728cA03A0fc62A0e1,738172171.924580956624784999
0x6B85bBCfb80D9AD5BC9F00e0e3f223D5Fee2d38b,727240330.565123951052060839
0x9982538F41f2ae29ddb9d3D9307010052984FDbB,690007445.361964286538252255
0x414486b2936bA36b59ff96184d55ED39E13a94BC,678101157.422160601306577532
0x697D4de58cE58cc849a4e158F7b452FADb9dB75b,557469906.86194364938775091
0x374D91a5674Fa7Cf86E725093b5848b97e1e13b4,476873606.209330467708896701
0x4DA2430E696ca01e0E68091b4cFA595B1Fd045F1,475486005.797170591138476533
0xeE821A4933054f4F47E5eCfFda924bDC65468A00,451941152.831457534401806441
0x0f053e31010FD346f3f7c59d71A19566B41CabD4,440908044.237475252090801366
0xdeC1D5476E25dD80ea41124B68b4000CBBfc0eF6,368115201.475885558267355491
0xAF25D554e5cC9aD2adea0d84d7aD7ae180f082C0,364524186.389635484228181841
0xd14e960DB87EaB85907b03eB23FC6F154664eA32,345310258.267547963099158795
0xC75c25821Fb6c2A9Fc40D9B2039c4F4BCe66FD96,343371319.383571127071677165
0xc8b0beB4A0C2716227a30e98f0124B0c1Ef5F302,341214604.657499812827155756
0x1d1f60733d63892761ab08A99190dcb26370dCa6,305894641.146958385739822468
0x63243D3388EBa15D553Eba393E2Ec62B8935c75B,292790588.026913240117070467
0xc468d513eE86be8653Caf59D7d7E96Ed5f1B5afe,278682659.197920694349334253
